# step       rmse_trn    rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      3.72e-02      3.72e-02    1.0e-03
    100      2.77e-02      2.77e-02    1.0e-03
    200      2.57e-02      2.57e-02    1.0e-03
    300      2.40e-02      2.40e-02    1.0e-03
    400      1.95e-02      1.95e-02    1.0e-03
    500      1.73e-02      1.73e-02    1.0e-03
    600      1.65e-02      1.65e-02    1.0e-03
    700      1.61e-02      1.61e-02    1.0e-03
    800      1.60e-02      1.60e-02    1.0e-03
    900      1.51e-02      1.51e-02    1.0e-03
   1000      1.49e-02      1.49e-02    1.0e-03
   1100      1.59e-02      1.59e-02    1.0e-03
   1200      1.38e-02      1.38e-02    1.0e-03
   1300      1.46e-02      1.46e-02    1.0e-03
   1400      1.27e-02      1.27e-02    1.0e-03
   1500      1.17e-02      1.17e-02    1.0e-03
   1600      1.13e-02      1.13e-02    1.0e-03
   1700      1.36e-02      1.36e-02    1.0e-03
   1800      1.04e-02      1.04e-02    1.0e-03
   1900      9.95e-03      9.95e-03    1.0e-03
   2000      9.50e-03      9.50e-03    1.0e-03
   2100      9.08e-03      9.08e-03    1.0e-03
   2200      9.13e-03      9.13e-03    1.0e-03
   2300      8.11e-03      8.11e-03    1.0e-03
   2400      8.20e-03      8.20e-03    1.0e-03
   2500      7.35e-03      7.35e-03    1.0e-03
   2600      7.27e-03      7.27e-03    1.0e-03
   2700      6.69e-03      6.69e-03    1.0e-03
   2800      6.53e-03      6.53e-03    1.0e-03
   2900      1.20e-02      1.20e-02    1.0e-03
   3000      6.03e-03      6.03e-03    1.0e-03
   3100      7.37e-03      7.37e-03    1.0e-03
   3200      5.67e-03      5.67e-03    1.0e-03
   3300      5.60e-03      5.60e-03    1.0e-03
   3400      5.26e-03      5.26e-03    1.0e-03
   3500      5.22e-03      5.22e-03    1.0e-03
   3600      5.00e-03      5.00e-03    1.0e-03
   3700      4.80e-03      4.80e-03    1.0e-03
   3800      4.72e-03      4.72e-03    1.0e-03
   3900      1.41e-02      1.41e-02    1.0e-03
   4000      4.28e-03      4.28e-03    1.0e-03
   4100      4.24e-03      4.24e-03    1.0e-03
   4200      8.67e-03      8.67e-03    1.0e-03
   4300      3.84e-03      3.84e-03    1.0e-03
   4400      3.74e-03      3.74e-03    1.0e-03
   4500      4.08e-03      4.08e-03    1.0e-03
   4600      3.45e-03      3.45e-03    1.0e-03
   4700      3.36e-03      3.36e-03    1.0e-03
   4800      4.81e-03      4.81e-03    1.0e-03
   4900      3.10e-03      3.10e-03    1.0e-03
   5000      3.05e-03      3.05e-03    5.6e-04
   5100      2.90e-03      2.90e-03    5.6e-04
   5200      2.81e-03      2.81e-03    5.6e-04
   5300      2.71e-03      2.71e-03    5.6e-04
   5400      2.62e-03      2.62e-03    5.6e-04
   5500      2.53e-03      2.53e-03    5.6e-04
   5600      2.44e-03      2.44e-03    5.6e-04
   5700      2.35e-03      2.35e-03    5.6e-04
   5800      2.50e-03      2.50e-03    5.6e-04
   5900      2.28e-03      2.28e-03    5.6e-04
   6000      2.19e-03      2.19e-03    5.6e-04
   6100      2.11e-03      2.11e-03    5.6e-04
   6200      2.15e-03      2.15e-03    5.6e-04
   6300      2.01e-03      2.01e-03    5.6e-04
   6400      1.98e-03      1.98e-03    5.6e-04
   6500      1.89e-03      1.89e-03    5.6e-04
   6600      2.33e-03      2.33e-03    5.6e-04
   6700      1.80e-03      1.80e-03    5.6e-04
   6800      1.76e-03      1.76e-03    5.6e-04
   6900      2.03e-03      2.03e-03    5.6e-04
   7000      1.85e-03      1.85e-03    5.6e-04
   7100      1.60e-03      1.60e-03    5.6e-04
   7200      1.58e-03      1.58e-03    5.6e-04
   7300      1.71e-03      1.71e-03    5.6e-04
   7400      1.52e-03      1.52e-03    5.6e-04
   7500      1.57e-03      1.57e-03    5.6e-04
   7600      1.42e-03      1.42e-03    5.6e-04
   7700      1.54e-03      1.54e-03    5.6e-04
   7800      3.47e-03      3.47e-03    5.6e-04
   7900      1.32e-03      1.32e-03    5.6e-04
   8000      2.31e-03      2.31e-03    5.6e-04
   8100      1.25e-03      1.25e-03    5.6e-04
   8200      1.75e-03      1.75e-03    5.6e-04
   8300      1.18e-03      1.18e-03    5.6e-04
   8400      1.16e-03      1.16e-03    5.6e-04
   8500      1.24e-03      1.24e-03    5.6e-04
   8600      1.58e-03      1.58e-03    5.6e-04
   8700      1.07e-03      1.07e-03    5.6e-04
   8800      1.10e-03      1.10e-03    5.6e-04
   8900      1.32e-03      1.32e-03    5.6e-04
   9000      1.35e-03      1.35e-03    5.6e-04
   9100      9.59e-04      9.59e-04    5.6e-04
   9200      9.54e-04      9.54e-04    5.6e-04
   9300      1.03e-03      1.03e-03    5.6e-04
   9400      2.34e-03      2.34e-03    5.6e-04
   9500      8.74e-04      8.74e-04    5.6e-04
   9600      8.78e-04      8.78e-04    5.6e-04
   9700      2.83e-03      2.83e-03    5.6e-04
   9800      8.17e-04      8.17e-04    5.6e-04
   9900      8.18e-04      8.18e-04    5.6e-04
  10000      8.55e-04      8.55e-04    3.2e-04
  10100      7.66e-04      7.66e-04    3.2e-04
  10200      7.44e-04      7.44e-04    3.2e-04
  10300      7.23e-04      7.23e-04    3.2e-04
  10400      7.03e-04      7.03e-04    3.2e-04
  10500      6.83e-04      6.83e-04    3.2e-04
  10600      6.64e-04      6.64e-04    3.2e-04
  10700      6.44e-04      6.44e-04    3.2e-04
  10800      6.25e-04      6.25e-04    3.2e-04
  10900      6.05e-04      6.05e-04    3.2e-04
  11000      5.86e-04      5.86e-04    3.2e-04
  11100      6.75e-04      6.75e-04    3.2e-04
  11200      5.70e-04      5.70e-04    3.2e-04
  11300      3.46e-03      3.46e-03    3.2e-04
  11400      5.44e-04      5.44e-04    3.2e-04
  11500      5.93e-04      5.93e-04    3.2e-04
  11600      5.15e-04      5.15e-04    3.2e-04
  11700      5.96e-04      5.96e-04    3.2e-04
  11800      1.20e-03      1.20e-03    3.2e-04
  11900      1.98e-03      1.98e-03    3.2e-04
  12000      4.72e-04      4.72e-04    3.2e-04
  12100      4.99e-04      4.99e-04    3.2e-04
  12200      4.92e-04      4.92e-04    3.2e-04
  12300      4.90e-04      4.90e-04    3.2e-04
  12400      4.35e-04      4.35e-04    3.2e-04
  12500      4.30e-04      4.30e-04    3.2e-04
  12600      4.24e-04      4.24e-04    3.2e-04
  12700      4.04e-04      4.04e-04    3.2e-04
  12800      4.04e-04      4.04e-04    3.2e-04
  12900      8.76e-04      8.76e-04    3.2e-04
  13000      1.40e-03      1.40e-03    3.2e-04
  13100      3.76e-04      3.76e-04    3.2e-04
  13200      3.76e-04      3.76e-04    3.2e-04
  13300      4.96e-04      4.96e-04    3.2e-04
  13400      1.30e-03      1.30e-03    3.2e-04
  13500      4.00e-04      4.00e-04    3.2e-04
  13600      5.60e-04      5.60e-04    3.2e-04
  13700      3.67e-04      3.67e-04    3.2e-04
  13800      8.27e-04      8.27e-04    3.2e-04
  13900      3.34e-04      3.34e-04    3.2e-04
  14000      3.22e-04      3.22e-04    3.2e-04
  14100      3.28e-04      3.28e-04    3.2e-04
  14200      4.40e-04      4.40e-04    3.2e-04
  14300      3.02e-04      3.02e-04    3.2e-04
  14400      3.12e-04      3.12e-04    3.2e-04
  14500      3.18e-04      3.18e-04    3.2e-04
  14600      2.98e-04      2.98e-04    3.2e-04
  14700      5.89e-04      5.89e-04    3.2e-04
  14800      3.12e-04      3.12e-04    3.2e-04
  14900      2.82e-04      2.82e-04    3.2e-04
  15000      4.18e-04      4.18e-04    1.8e-04
  15100      2.66e-04      2.66e-04    1.8e-04
  15200      2.61e-04      2.61e-04    1.8e-04
  15300      2.56e-04      2.56e-04    1.8e-04
  15400      2.51e-04      2.51e-04    1.8e-04
  15500      2.46e-04      2.46e-04    1.8e-04
  15600      2.41e-04      2.41e-04    1.8e-04
  15700      2.37e-04      2.37e-04    1.8e-04
  15800      2.32e-04      2.32e-04    1.8e-04
  15900      2.28e-04      2.28e-04    1.8e-04
  16000      2.23e-04      2.23e-04    1.8e-04
  16100      2.19e-04      2.19e-04    1.8e-04
  16200      3.14e-03      3.14e-03    1.8e-04
  16300      2.19e-04      2.19e-04    1.8e-04
  16400      2.20e-04      2.20e-04    1.8e-04
  16500      2.12e-04      2.12e-04    1.8e-04
  16600      9.32e-04      9.32e-04    1.8e-04
  16700      2.05e-04      2.05e-04    1.8e-04
  16800      9.73e-04      9.73e-04    1.8e-04
  16900      2.00e-04      2.00e-04    1.8e-04
  17000      2.25e-04      2.25e-04    1.8e-04
  17100      2.15e-04      2.15e-04    1.8e-04
  17200      3.26e-04      3.26e-04    1.8e-04
  17300      2.00e-04      2.00e-04    1.8e-04
  17400      3.80e-04      3.80e-04    1.8e-04
  17500      7.23e-04      7.23e-04    1.8e-04
  17600      1.83e-04      1.83e-04    1.8e-04
  17700      2.08e-04      2.08e-04    1.8e-04
  17800      1.85e-04      1.85e-04    1.8e-04
